%hc	wc	length	Tamb	Q	Uin	Temperature (degC), Boundary Probe 1	Temperature (degC), Back Air Temperature Probe 2	Temperature (degC), Back Solid Temperature Probe 3	Temperature (degC), Front All Temperature Probe 4	Temperature (degC), Front Air Temperature Probe 5	Temperature (degC), Front Solid Temperature Probe 6	Pressure (Pa), Pressure Probe 1	Pressure (Pa), Pressure Probe 2	Pressure (Pa), Pressure Probe 3	Velocity magnitude (m/s), Speed Probe 1	Velocity magnitude (m/s), Speed Probe 2	Temperature (degC), Stack Temperature Probe 1	Temperature (degC), Stack Temperature Probe
0.0010000	5.0000E-4	0.030000	253.15	1.0000	1272.0	-2.8136	-3.0344	-9.1199	-18.395	-19.392	-17.252	84.820	83.510	86.117	1.7074	1.9237	-9.3650	-9.3650
0.0010000	5.0000E-4	0.030000	273.15	1.0000	1272.0	18.475	18.277	11.632	1.6987	0.66891	2.8792	88.679	87.428	89.914	1.7179	1.9247	11.374	11.374
0.0010000	5.0000E-4	0.030000	293.15	1.0000	1272.0	39.760	39.580	32.398	21.802	20.738	23.023	92.350	91.150	93.532	1.7270	1.9252	32.127	32.127
0.0010000	5.0000E-4	0.030000	313.15	1.0000	1272.0	61.038	60.874	53.174	41.916	40.815	43.179	95.811	94.653	96.944	1.7349	1.9254	52.891	52.891
0.0010000	5.0000E-4	0.030000	253.15	1.0000	3132.0	22.283	21.765	6.8422	-15.920	-18.468	-12.999	90.962	89.645	92.271	1.7143	2.0998	6.2412	6.2412
0.0010000	5.0000E-4	0.030000	273.15	1.0000	3132.0	45.430	44.970	28.646	4.2925	1.6813	7.2859	95.641	94.383	96.889	1.7241	2.1002	28.013	28.013
0.0010000	5.0000E-4	0.030000	293.15	1.0000	3132.0	68.571	68.158	50.494	24.531	21.849	27.605	100.04	98.834	101.24	1.7327	2.1002	49.830	49.830
0.0010000	5.0000E-4	0.030000	313.15	1.0000	3132.0	91.699	91.322	72.375	44.795	42.035	47.959	104.15	102.99	105.30	1.7404	2.0999	71.681	71.681
0.0010000	5.0000E-4	0.030000	253.15	1.0000	5040.0	47.970	47.174	23.206	-13.326	-17.514	-8.5264	97.875	96.556	99.193	1.7238	2.2807	22.242	22.242
0.0010000	5.0000E-4	0.030000	273.15	1.0000	5040.0	73.002	72.299	46.075	7.0085	2.7291	11.914	103.06	101.80	104.31	1.7331	2.2803	45.059	45.059
0.0010000	5.0000E-4	0.030000	293.15	1.0000	5040.0	98.023	97.393	69.015	27.383	22.999	32.408	107.95	106.74	109.15	1.7414	2.2796	67.949	67.949
0.0010000	5.0000E-4	0.030000	313.15	1.0000	5040.0	123.02	122.45	92.008	47.798	43.299	52.956	112.54	111.37	113.69	1.7488	2.2786	90.893	90.893
0.0010000	5.0000E-4	0.030000	253.15	3.2500	1272.0	-14.387	-14.700	-16.049	-19.445	-19.843	-18.990	320.29	308.76	331.52	5.2963	5.9047	-16.180	-16.180
0.0010000	5.0000E-4	0.030000	273.15	3.2500	1272.0	5.9918	5.7010	4.1203	0.56788	0.16341	1.0315	332.81	321.95	343.41	5.3195	5.9179	3.9847	3.9847
0.0010000	5.0000E-4	0.030000	293.15	3.2500	1272.0	26.371	26.099	24.295	20.581	20.170	21.052	345.22	334.95	355.28	5.3434	5.9303	24.155	24.155
0.0010000	5.0000E-4	0.030000	313.15	3.2500	1272.0	46.749	46.495	44.475	40.594	40.177	41.071	357.29	347.53	366.87	5.3678	5.9420	44.330	44.330
