Session: untitled,,,,,,,,,,,,,,,,,,,,
Training Data: temp_train    Observations: 3550,,,,,,,,,,,,,,,,,,,,
"Predictors: 6    Predictor Names: hc, wc, length, Tamb, Q, Uin",,,,,,,,,,,,,,,,,,,,
Response Name: TemperaturedegCStackTemperatureProbe1,,,,,,,,,,,,,,,,,,,,
Validation: 10-fold cross-validation,,,,,,,,,,,,,,,,,,,,
Test Data: temp_test    Observations: 626,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Favorite,Model Number,Model Type,Status,RMSE (Validation),MSE (Validation),RSquared (Validation),MAE (Validation),MAE (Test),MSE (Test),RMSE (Test),RSquared (Test),Preset,Prediction Speed (obs/sec),Training Time (sec),Model Size (bytes),Hyperparameters,Selected Features,Feature Ranking Algorithm,PCA,Optimizer Options
0,2.1,Linear Regression,Tested,10.4496669595702,109.195539565933,0.861917787173507,7.16478568762601,7.21561647338553,113.604384364306,10.6585357514204,0.861554322449546,Linear,11334.8710442896,14.6986565,8110,Terms: Linear; Robust option: Off,6/6,None,Disabled,Not applicable
0,2.2,Linear Regression,Tested,8.12988743000011,66.0950696244738,0.916420089071882,6.05491795854799,5.96490204105544,66.6458147929453,8.16368879814421,0.918781083700759,Interactions Linear,8226.95456218233,16.1389975,18388,Terms: Interactions; Robust option: Off,6/6,None,Disabled,Not applicable
0,2.3,Linear Regression,Tested,13.1924945135928,174.041911491177,0.779916905408543,5.7394391828852,6.00720371858337,181.593956520798,13.4756801876862,0.778697816195475,Robust Linear,10510.5429628066,13.4550516,8654,Terms: Linear; Robust option: On,6/6,None,Disabled,Not applicable
0,2.4,Stepwise Linear Regression,Tested,8.12926521811875,66.0849529865153,0.916432881973141,6.05533158871196,5.97658748600972,66.711540227451,8.16771328019361,0.918700986419625,Stepwise Linear,10530.3655697981,65.3906255,14924,Initial terms: Linear; Upper bound on terms: Interactions; Maximum number of steps: 1000,6/6,None,Disabled,Not applicable
0,2.5,Tree,Tested,2.98722438553343,8.92350952952558,0.988715858295007,1.93891179213865,1.8050627266662,7.21956629563166,2.68692506327059,0.991201767845386,Fine Tree,18186.9971679515,11.7455761,137956,Minimum leaf size: 4; Surrogate decision splits: Off,6/6,None,Disabled,Not applicable
0,2.6,Tree,Tested,4.34544892801291,18.8829263859686,0.976121769530339,2.57965866470353,2.67005631936264,20.4557105562479,4.52279897367194,0.975071343209307,Medium Tree,33628.824923601,9.3360242,55364,Minimum leaf size: 12; Surrogate decision splits: Off,6/6,None,Disabled,Not applicable
0,2.7,Tree,Tested,7.43140089715731,55.2257192942704,0.930164825821634,4.30632795529865,4.07350596989961,48.6849890308699,6.97746293654577,0.940669311922851,Coarse Tree,22473.5887852361,13.1548022,20840,Minimum leaf size: 36; Surrogate decision splits: Off,6/6,None,Disabled,Not applicable
0,2.8,SVM,Tested,11.589514506062,134.316846486222,0.83015087011411,5.6942775879352,5.92220365758116,140.185998882894,11.8400168447048,0.829160241419984,Linear SVM,18893.0583710352,18.8547458,104013,Kernel function: Linear; Kernel scale: Automatic; Box constraint: Automatic; Epsilon: Auto; Standardize data: Yes,6/6,None,Disabled,Not applicable
0,2.9,SVM,Tested,6.45492007369842,41.6659931578348,0.947311652493155,3.62532938515767,3.63148873948093,43.9808293591433,6.63180438185139,0.946402106274953,Quadratic SVM,16039.5068868221,24.4351519,76757,Kernel function: Quadratic; Kernel scale: Automatic; Box constraint: Automatic; Epsilon: Auto; Standardize data: Yes,6/6,None,Disabled,Not applicable
0,2.10,SVM,Tested,2.85886277574289,8.17309637052833,0.98966478633676,2.21633495954036,2.25525344987731,8.40106897065183,2.89845975832887,0.989761911986951,Cubic SVM,19890.9081740426,38.2982519,41309,Kernel function: Cubic; Kernel scale: Automatic; Box constraint: Automatic; Epsilon: Auto; Standardize data: Yes,6/6,None,Disabled,Not applicable
