hc,wc,length,Tamb,Q,Uin,PressurePaPressureProbe3
1,0.5,30,20,1272,1,93.532
1,0.5,30,-20,3132,1,92.271
1,0.5,30,0,3132,1,96.889
1,0.5,30,20,3132,1,101.24
1,0.5,30,40,3132,1,105.3
1,0.5,30,20,5040,1,109.15
1,0.5,30,0,1272,3.25,343.41
1,0.5,30,40,1272,3.25,366.87
1,0.5,30,-20,3132,3.25,338.91
1,0.5,30,-20,5040,3.25,344.87
1,0.5,30,0,5040,3.25,358.98
1,0.5,30,-20,1272,5.5,618.67
1,0.5,30,40,1272,5.5,680.41
1,0.5,30,-20,3132,5.5,628.92
1,0.5,30,0,3132,5.5,650.29
1,0.5,30,40,3132,5.5,692.22
1,0.5,30,-20,5040,5.5,638.14
1,0.5,30,0,5040,5.5,660.02
1,0.5,30,20,5040,5.5,681.97
1,0.5,30,-20,1272,7.75,948.87
1,0.5,30,0,1272,7.75,973.51
1,0.5,30,40,1272,7.75,1025.5
1,0.5,30,-20,3132,7.75,962.06
1,0.5,30,0,3132,7.75,987.11
1,0.5,30,-20,5040,7.75,974.74
1,0.5,30,0,5040,7.75,999.88
1,0.5,30,20,5040,7.75,1026
1,0.5,30,40,5040,7.75,1052.6
1,0.5,30,20,1272,10,1378.8
1,0.5,30,40,1272,10,1408
1,0.5,30,-20,3132,10,1341.7
1,0.5,30,0,3132,10,1367.5
1,0.5,30,20,3132,10,1394.9
1,0.5,30,40,3132,10,1424
1,0.5,30,0,5040,10,1383
1,0.5,30,20,5040,10,1410.5
1,0.5,30,40,5040,10,1439.6
1,0.5,60,0,1272,1,185.5
1,0.5,60,20,1272,1,193.11
1,0.5,60,40,1272,1,200.31
1,0.5,60,20,3132,1,225.37
1,0.5,60,40,3132,1,234.22
1,0.5,60,-20,5040,1,237.29
1,0.5,60,0,5040,1,248.9
1,0.5,60,40,5040,1,270
1,0.5,60,0,1272,3.25,663.65
1,0.5,60,40,1272,3.25,715.07
1,0.5,60,-20,3132,3.25,668.4
1,0.5,60,0,3132,3.25,697.81
1,0.5,60,20,3132,3.25,726.39
1,0.5,60,40,3132,3.25,753.67
1,0.5,60,-20,5040,3.25,697.93
1,0.5,60,20,5040,3.25,761.86
1,0.5,60,40,5040,3.25,791.48
1,0.5,60,0,1272,5.5,1197.6
1,0.5,60,-20,3132,5.5,1185.5
1,0.5,60,0,3132,5.5,1236.6
1,0.5,60,20,3132,5.5,1286.7
1,0.5,60,40,3132,5.5,1334.3
1,0.5,60,-20,5040,5.5,1220.4
1,0.5,60,40,5040,5.5,1375.6
1,0.5,60,-20,1272,7.75,1716.8
1,0.5,60,0,1272,7.75,1779.4
1,0.5,60,20,1272,7.75,1843.5
1,0.5,60,40,1272,7.75,1907.1
1,0.5,60,-20,3132,7.75,1758.5
1,0.5,60,20,3132,7.75,1888.8
1,0.5,60,40,3132,7.75,1953.6
1,0.5,60,-20,5040,7.75,1799.8
1,0.5,60,0,5040,7.75,1866.3
1,0.5,60,20,5040,7.75,1933.3
1,0.5,60,40,5040,7.75,1999.3
1,0.5,60,-20,1272,10,2346
1,0.5,60,20,1272,10,2492.2
1,0.5,60,40,1272,10,2572.6
1,0.5,60,-20,3132,10,2393.4
1,0.5,60,20,3132,10,2543
1,0.5,60,-20,5040,10,2441.3
1,0.5,60,20,5040,10,2591.8
1,0.5,60,40,5040,10,2674.3
1,0.75,30,-20,1272,1,51.926
1,0.75,30,20,1272,1,56.51
1,0.75,30,20,3132,1,59.659
1,0.75,30,40,3132,1,62.142
1,0.75,30,-20,5040,1,58.565
1,0.75,30,20,5040,1,64.053
1,0.75,30,-20,1272,3.25,211.19
1,0.75,30,0,1272,3.25,217.83
1,0.75,30,20,1272,3.25,224.26
1,0.75,30,40,1272,3.25,230.32
1,0.75,30,0,3132,3.25,221.34
1,0.75,30,20,3132,3.25,228.19
1,0.75,30,40,3132,3.25,234.74
1,0.75,30,0,5040,3.25,224.22
1,0.75,30,20,5040,3.25,231.17
1,0.75,30,40,5040,3.25,238.03
1,0.75,30,-20,1272,5.5,409.51
1,0.75,30,0,1272,5.5,418.85
1,0.75,30,20,1272,5.5,428.37
1,0.75,30,40,1272,5.5,437.7
1,0.75,30,-20,3132,5.5,416.41
1,0.75,30,0,3132,5.5,425.78
1,0.75,30,20,3132,5.5,435.3
1,0.75,30,40,3132,5.5,444.73
1,0.75,30,20,5040,5.5,441.27
1,0.75,30,40,5040,5.5,450.75
1,0.75,30,-20,1272,7.75,645.51
1,0.75,30,20,1272,7.75,665.27
1,0.75,30,40,1272,7.75,676.32
1,0.75,30,0,3132,7.75,664.31
1,0.75,30,20,3132,7.75,674.81
1,0.75,30,40,3132,7.75,685.81
1,0.75,30,-20,5040,7.75,664.16
1,0.75,30,0,5040,7.75,673.29
1,0.75,30,-20,1272,10,919.25
1,0.75,30,0,1272,10,927.11
1,0.75,30,20,1272,10,936.02
1,0.75,30,40,1272,10,946.82
1,0.75,30,0,3132,10,939.05
1,0.75,30,20,3132,10,947.74
1,0.75,30,40,3132,10,958.35
1,0.75,30,-20,5040,10,942.93
1,0.75,30,20,5040,10,959.06
1,0.75,30,40,5040,10,969.4
1,0.75,60,-20,1272,1,106.08
1,0.75,60,0,1272,1,111.15
1,0.75,60,40,1272,1,120.35
1,0.75,60,-20,3132,1,119.82
1,0.75,60,0,3132,1,126.1
1,0.75,60,20,3132,1,132.04
1,0.75,60,40,3132,1,137.65
1,0.75,60,0,5040,1,144.65
1,0.75,60,-20,1272,3.25,393.11
1,0.75,60,0,1272,3.25,409.14
1,0.75,60,20,1272,3.25,424.53
1,0.75,60,40,1272,3.25,438.95
1,0.75,60,-20,3132,3.25,407.8
1,0.75,60,0,3132,3.25,425.22
1,0.75,60,-20,5040,3.25,422.61
1,0.75,60,0,5040,3.25,440.65
1,0.75,60,40,5040,3.25,475.25
1,0.75,60,-20,1272,5.5,729.21
1,0.75,60,40,1272,5.5,802.61
1,0.75,60,-20,3132,5.5,751.16
1,0.75,60,0,3132,5.5,776.75
1,0.75,60,20,3132,5.5,801.95
1,0.75,60,40,3132,5.5,826.65
1,0.75,60,-20,5040,5.5,772.02
1,0.75,60,0,5040,5.5,798.06
1,0.75,60,40,5040,5.5,849.1
1,0.75,60,-20,1272,7.75,1113.4
1,0.75,60,0,1272,7.75,1143.3
1,0.75,60,20,1272,7.75,1174.1
1,0.75,60,40,1272,7.75,1206.3
1,0.75,60,-20,3132,7.75,1141.4
1,0.75,60,20,3132,7.75,1203.2
1,0.75,60,40,3132,7.75,1235.7
1,0.75,60,20,5040,7.75,1230.9
1,0.75,60,40,5040,7.75,1263.6
1,0.75,60,-20,1272,10,1543.4
1,0.75,60,0,1272,10,1579.9
1,0.75,60,20,1272,10,1615.8
1,0.75,60,40,1272,10,1650.3
1,0.75,60,-20,3132,10,1577.6
1,0.75,60,20,3132,10,1649.8
1,0.75,60,40,3132,10,1684.5
1,0.75,60,-20,5040,10,1610.1
1,0.75,60,0,5040,10,1646.7
1,0.75,60,20,5040,10,1682.5
