hc,wc,length,Tamb,Q,Uin,TemperaturedegCStackTemperatureProbe1
1,0.5,30,20,1272,1,32.127
1,0.5,30,-20,3132,1,6.2412
1,0.5,30,0,3132,1,28.013
1,0.5,30,20,3132,1,49.83
1,0.5,30,40,3132,1,71.681
1,0.5,30,20,5040,1,67.949
1,0.5,30,0,1272,3.25,3.9847
1,0.5,30,40,1272,3.25,44.33
1,0.5,30,-20,3132,3.25,-10.567
1,0.5,30,-20,5040,3.25,-4.7273
1,0.5,30,0,5040,3.25,15.859
1,0.5,30,-20,1272,5.5,-17.364
1,0.5,30,40,1272,5.5,42.877
1,0.5,30,-20,3132,5.5,-13.501
1,0.5,30,0,3132,5.5,6.6787
1,0.5,30,40,3132,5.5,47.078
1,0.5,30,-20,5040,5.5,-9.5049
1,0.5,30,0,5040,5.5,10.773
1,0.5,30,20,5040,5.5,31.072
1,0.5,30,-20,1272,7.75,-17.872
1,0.5,30,0,1272,7.75,2.1716
1,0.5,30,40,1272,7.75,42.269
1,0.5,30,-20,3132,7.75,-14.762
1,0.5,30,0,3132,7.75,5.3433
1,0.5,30,-20,5040,7.75,-11.561
1,0.5,30,0,5040,7.75,8.6044
1,0.5,30,20,5040,7.75,28.786
1,0.5,30,40,5040,7.75,48.981
1,0.5,30,20,1272,10,21.896
1,0.5,30,40,1272,10,41.929
1,0.5,30,-20,3132,10,-15.481
1,0.5,30,0,3132,10,4.5855
1,0.5,30,20,3132,10,24.661
1,0.5,30,40,3132,10,44.743
1,0.5,30,0,5040,10,7.3766
1,0.5,30,20,5040,10,27.497
1,0.5,30,40,5040,10,47.628
1,0.5,60,0,1272,1,20.499
1,0.5,60,20,1272,1,41.917
1,0.5,60,40,1272,1,63.34
1,0.5,60,20,3132,1,73.763
1,0.5,60,40,3132,1,97.221
1,0.5,60,-20,5040,1,55.244
1,0.5,60,0,5040,1,80.693
1,0.5,60,40,5040,1,131.67
1,0.5,60,0,1272,3.25,6.7775
1,0.5,60,40,1272,3.25,47.516
1,0.5,60,-20,3132,3.25,-4.2202
1,0.5,60,0,3132,3.25,16.654
1,0.5,60,20,3132,3.25,37.546
1,0.5,60,40,3132,3.25,58.452
1,0.5,60,-20,5040,3.25,5.4103
1,0.5,60,20,5040,3.25,48.194
1,0.5,60,40,5040,3.25,69.632
1,0.5,60,0,1272,5.5,4.3688
1,0.5,60,-20,3132,5.5,-9.716
1,0.5,60,0,3132,5.5,10.738
1,0.5,60,20,3132,5.5,31.207
1,0.5,60,40,3132,5.5,51.689
1,0.5,60,-20,5040,5.5,-3.4432
1,0.5,60,40,5040,5.5,58.78
1,0.5,60,-20,1272,7.75,-16.763
1,0.5,60,0,1272,7.75,3.3567
1,0.5,60,20,1272,7.75,23.48
1,0.5,60,40,1272,7.75,43.606
1,0.5,60,-20,3132,7.75,-12.041
1,0.5,60,20,3132,7.75,28.55
1,0.5,60,40,3132,7.75,48.861
1,0.5,60,-20,5040,7.75,-7.2001
1,0.5,60,0,5040,7.75,13.261
1,0.5,60,20,5040,7.75,33.741
